,Total_Revenue,Total_Expenditure,Net,Grade_PK,Grades_All,Grade_12,math4_score,math8_score,reading4_score,reading8_score,clusters,cluster
597,4426835.0,4376502.0,50333,30203.0,626160.0,38601.0,229.0,272.0,214.0,262.0,0,pink
598,4592019.0,4978764.0,-386745,399.0,551273.0,40702.0,236.0,281.0,218.0,264.0,0,pink
599,19811545.0,20626459.0,-814914,2588.0,1821146.0,131199.0,236.0,279.0,219.0,264.0,2,dark purple
600,1728055.0,1646238.0,81817,1473.0,159375.0,9957.0,230.0,272.0,216.0,261.0,0,pink
601,5709707.0,6024747.0,-315040,20107.0,699198.0,38273.0,236.0,277.0,215.0,258.0,0,pink
602,965778.0,993823.0,-28045,2132.0,125537.0,9566.0,237.0,285.0,222.0,270.0,0,pink
603,5994756.0,6482671.0,-487915,16786.0,936682.0,54115.0,228.0,268.0,212.0,258.0,0,pink
604,35143236.0,37333674.0,-2190438,194150.0,4331751.0,243490.0,237.0,277.0,215.0,259.0,2,dark purple
605,2875622.0,2957874.0,-82252,8598.0,495981.0,34629.0,235.0,281.0,219.0,264.0,0,pink
606,1451171.0,1440961.0,10210,3027.0,99103.0,7614.0,242.0,286.0,226.0,271.0,0,pink
607,10504167.0,10746679.0,-242512,16524.0,1192092.0,76477.0,239.0,282.0,223.0,268.0,0,pink
608,8565636.0,8802387.0,-236751,11352.0,1021349.0,74338.0,238.0,281.0,221.0,264.0,0,pink
609,2497707.0,2524444.0,-26737,7911.0,281215.0,18554.0,231.0,271.0,219.0,260.0,0,pink
610,8931497.0,9128279.0,-196782,26668.0,880031.0,69389.0,237.0,284.0,221.0,266.0,0,pink
611,962240.0,915515.0,46725,2184.0,87462.0,6500.0,241.0,284.0,222.0,267.0,0,pink
663,5889966.0,5904664.0,-14698,2623.0,741761.0,43452.0,225.0,262.0,208.0,252.0,0,pink
664,1599739.0,1751718.0,-151979,1914.0,133288.0,9578.0,236.0,279.0,211.0,259.0,0,pink
665,7550109.0,7136794.0,413315,9979.0,1094454.0,79180.0,230.0,274.0,207.0,255.0,0,pink
666,3978240.0,3999608.0,-21368,10372.0,474206.0,29351.0,236.0,272.0,217.0,258.0,0,pink
668,6910296.0,7284280.0,-373984,23211.0,779826.0,51818.0,239.0,281.0,224.0,265.0,0,pink
669,7898694.0,7452057.0,446637,12774.0,575059.0,38662.0,242.0,281.0,226.0,264.0,0,pink
670,1431710.0,1480157.0,-48447,680.0,120937.0,7555.0,240.0,281.0,226.0,266.0,0,pink
672,23216404.0,23857012.0,-640608,47240.0,2675024.0,157545.0,239.0,274.0,219.0,256.0,2,dark purple
673,14724731.0,14492666.0,232065,38633.0,1598461.0,87800.0,234.0,272.0,214.0,257.0,2,dark purple
674,2274166.0,1765805.0,508361,1412.0,182818.0,10899.0,230.0,266.0,210.0,249.0,0,pink
675,1796035.0,1819519.0,-23484,2784.0,261982.0,17876.0,242.0,281.0,222.0,264.0,0,pink
676,21611180.0,22035569.0,-424389,72131.0,2111706.0,138518.0,233.0,278.0,216.0,264.0,2,dark purple
677,11653165.0,11071431.0,581734,10501.0,1035074.0,67050.0,240.0,282.0,218.0,261.0,0,pink
678,4638125.0,4599549.0,38576,6826.0,483482.0,37611.0,240.0,284.0,221.0,267.0,0,pink
679,4223632.0,4076597.0,147035,1837.0,467525.0,32870.0,246.0,284.0,220.0,267.0,0,pink
680,5444309.0,5750671.0,-306362,38125.0,679878.0,39157.0,231.0,274.0,220.0,264.0,0,pink
681,5975074.0,5941561.0,33513,23328.0,654526.0,36735.0,230.0,268.0,209.0,253.0,0,pink
682,2324789.0,2325138.0,-349,1894.0,195498.0,14683.0,241.0,281.0,225.0,270.0,0,pink
683,9906219.0,9782665.0,123554,24219.0,860020.0,58766.0,238.0,278.0,220.0,261.0,0,pink
684,12976279.0,12726283.0,249996,24617.0,971909.0,65635.0,247.0,292.0,231.0,274.0,0,pink
685,19106382.0,20489512.0,-1383130,25009.0,1742282.0,113351.0,238.0,277.0,218.0,261.0,2,dark purple
686,8777363.0,9082593.0,-305230,11633.0,839243.0,72173.0,246.0,290.0,225.0,268.0,0,pink
687,3639643.0,3610904.0,28739,2488.0,494954.0,26383.0,227.0,262.0,204.0,251.0,0,pink
688,8340865.0,8170965.0,169900,17848.0,917705.0,62632.0,235.0,276.0,221.0,265.0,0,pink
689,1293070.0,1268328.0,24742,798.0,145416.0,11095.0,241.0,286.0,225.0,269.0,0,pink
690,2895640.0,2708776.0,186864,6463.0,286646.0,21419.0,238.0,284.0,221.0,267.0,0,pink
691,3381646.0,3483540.0,-101894,2812.0,412395.0,20501.0,230.0,270.0,207.0,253.0,0,pink
692,2332695.0,2333264.0,-569,2525.0,205767.0,15001.0,246.0,285.0,227.0,270.0,0,pink
693,23026334.0,23023365.0,2969,26794.0,1395602.0,92175.0,244.0,284.0,223.0,269.0,2,dark purple
694,2982991.0,3011696.0,-28705,6070.0,326758.0,19119.0,224.0,263.0,207.0,251.0,0,pink
695,43936450.0,45086872.0,-1150422,40519.0,2815581.0,173867.0,238.0,280.0,223.0,265.0,1,purple
696,11098165.0,10917913.0,180252,9847.0,1416436.0,82267.0,241.0,282.0,217.0,258.0,0,pink
697,969520.0,985502.0,-15982,1052.0,98283.0,7889.0,243.0,287.0,225.0,270.0,0,pink
698,19746239.0,19785561.0,-39322,29791.0,1839683.0,130436.0,242.0,283.0,223.0,267.0,2,dark purple
699,4892548.0,4785987.0,106561,33418.0,634739.0,38013.0,234.0,271.0,214.0,260.0,0,pink
700,5022050.0,5597579.0,-575529,1049.0,552194.0,39414.0,238.0,282.0,217.0,263.0,0,pink
701,22657782.0,23183924.0,-526142,8790.0,1830684.0,135778.0,241.0,281.0,223.0,267.0,2,dark purple
702,1903472.0,1790591.0,112881,1688.0,153422.0,10587.0,233.0,272.0,216.0,261.0,0,pink
703,6337711.0,6572191.0,-234480,21604.0,701544.0,40327.0,238.0,281.0,213.0,257.0,0,pink
704,1053504.0,1059303.0,-5799,1217.0,122012.0,8956.0,242.0,287.0,222.0,269.0,0,pink
705,6806262.0,7067521.0,-261259,10190.0,953928.0,56949.0,232.0,271.0,214.0,259.0,0,pink
706,37783715.0,40302144.0,-2518429,207967.0,4525394.0,257151.0,242.0,281.0,219.0,258.0,2,dark purple
707,3181279.0,3188018.0,-6739,3933.0,508430.0,36923.0,239.0,279.0,221.0,262.0,0,pink
708,1628681.0,1634534.0,-5853,4061.0,96638.0,7499.0,244.0,287.0,227.0,269.0,0,pink
709,12182657.0,12385157.0,-202500,19868.0,1213616.0,78913.0,240.0,284.0,226.0,268.0,0,pink
710,9141383.0,9399603.0,-258220,12735.0,1031985.0,76505.0,242.0,285.0,223.0,265.0,0,pink
711,2701056.0,2698703.0,2353,8942.0,280866.0,18022.0,231.0,269.0,215.0,255.0,0,pink
712,9584108.0,9433502.0,150606,31218.0,875174.0,69665.0,241.0,285.0,221.0,266.0,0,pink
713,1132160.0,1033603.0,98557,439.0,84409.0,6079.0,243.0,282.0,223.0,268.0,0,pink
765,7069040.0,7196459.0,-127419,3592.0,742919.0,46200.0,229.0,266.0,216.0,252.0,0,pink
766,1800616.0,1938755.0,-138139,1679.0,131029.0,10092.0,237.0,283.0,214.0,259.0,0,pink
767,8724434.0,8709531.0,14903,15854.0,1087447.0,76275.0,232.0,276.0,210.0,255.0,0,pink
768,4415981.0,4779308.0,-363327,12795.0,479016.0,30708.0,238.0,274.0,217.0,258.0,0,pink
769,72516936.0,73225422.0,-708486,68002.0,6343471.0,468281.0,230.0,270.0,209.0,251.0,1,purple
770,7689014.0,8039146.0,-350132,25649.0,801867.0,55334.0,240.0,286.0,224.0,266.0,0,pink
771,8913149.0,8685421.0,227728,14180.0,570626.0,40927.0,243.0,282.0,227.0,267.0,0,pink
772,1694929.0,1705204.0,-10275,583.0,122574.0,7681.0,242.0,283.0,225.0,265.0,0,pink
774,28898362.0,29849892.0,-951530,46917.0,2666811.0,169832.0,242.0,277.0,224.0,260.0,2,dark purple
775,17755989.0,17389530.0,366459,39908.0,1649589.0,95443.0,235.0,275.0,219.0,259.0,2,dark purple
776,2985593.0,2199604.0,785989,1531.0,179897.0,11234.0,234.0,269.0,213.0,251.0,0,pink
777,2011951.0,1960472.0,51479,2880.0,272119.0,18598.0,241.0,284.0,223.0,265.0,0,pink
778,23897153.0,23401917.0,495236,77843.0,2112805.0,144342.0,237.0,280.0,219.0,263.0,2,dark purple
779,10458932.0,11462062.0,-1003130,10755.0,1046764.0,71755.0,245.0,285.0,222.0,264.0,0,pink
780,5194536.0,5198975.0,-4439,12487.0,485115.0,39114.0,243.0,285.0,225.0,267.0,0,pink
781,5038100.0,4823931.0,214169,13477.0,468295.0,33149.0,248.0,290.0,225.0,267.0,0,pink
782,6226696.0,6351636.0,-124940,17985.0,666225.0,41958.0,235.0,279.0,222.0,262.0,0,pink
783,7048732.0,6657341.0,391391,26631.0,681038.0,37806.0,230.0,272.0,207.0,253.0,0,pink
784,2538161.0,2501127.0,37034,2635.0,196245.0,16322.0,242.0,286.0,226.0,270.0,0,pink
785,11674965.0,11541225.0,133740,27179.0,845700.0,61767.0,240.0,286.0,225.0,265.0,0,pink
786,14407777.0,14315518.0,92259,25853.0,962958.0,68757.0,252.0,298.0,236.0,273.0,2,dark purple
787,20576110.0,19839838.0,736272,27207.0,1692739.0,126380.0,238.0,277.0,220.0,260.0,2,dark purple
788,9693509.0,10030105.0,-336596,12795.0,837578.0,74749.0,247.0,292.0,225.0,268.0,0,pink
789,4220926.0,4158733.0,62193,2805.0,494122.0,27688.0,228.0,265.0,208.0,250.0,0,pink
790,8908844.0,9245525.0,-336681,22691.0,917188.0,65443.0,239.0,281.0,221.0,263.0,0,pink
791,1474306.0,1442434.0,31872,539.0,142823.0,11057.0,244.0,287.0,227.0,271.0,0,pink
792,3234014.0,3117931.0,116083,10091.0,291244.0,22400.0,238.0,284.0,223.0,267.0,0,pink
793,4006081.0,4346371.0,-340290,2834.0,429362.0,21828.0,232.0,271.0,211.0,252.0,0,pink
794,2600123.0,2608190.0,-8067,2614.0,200772.0,15959.0,249.0,288.0,229.0,270.0,0,pink
795,25293076.0,25572112.0,-279036,28540.0,1382348.0,97078.0,249.0,289.0,231.0,270.0,2,dark purple
796,3272953.0,3279467.0,-6514,5378.0,329040.0,19594.0,228.0,268.0,212.0,251.0,0,pink
797,50762544.0,51253984.0,-491440,48561.0,2765435.0,185680.0,243.0,280.0,224.0,264.0,1,purple
798,13063307.0,12794086.0,269221,16927.0,1489492.0,85893.0,242.0,284.0,218.0,259.0,0,pink
799,1045678.0,1042175.0,3503,909.0,95059.0,7662.0,245.0,292.0,226.0,268.0,0,pink
800,22142424.0,21336580.0,805844,32815.0,1827184.0,134417.0,245.0,285.0,226.0,268.0,2,dark purple
801,5491931.0,5505213.0,-13282,35270.0,642065.0,39321.0,237.0,275.0,217.0,260.0,0,pink
802,5648586.0,5634955.0,13631,1310.0,565586.0,45559.0,236.0,284.0,215.0,266.0,0,pink
