Primary_Key,State,Year,Enrollment,Total_Revenue,Federal_Revenue,State_Revenue,Local_Revenue,Total_Expenditure,Instruction_Expenditure,Support_Services_Expenditure,Other_Expenditure,Capital_Outlay_Expenditure,Net,Grade_PK,Grade_K,Grade_4,Grade_8,Grade_12,Grades_All,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score
2003_WYOMING,WY,2003,85966,962240,84308,489199,388733,915515,473447,292271,27608,110312,46725,2184,6224,6174,7173,6500,87462,241,284,222,267
2004_ALABAMA,AL,2004,730418,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522,449619,-94156,1994,56964,56182,59286,42672,730140,,,,
2004_ALASKA,AK,2004,133153,1477152,286447,809810,380895,1647250,775069,527349,54475,255826,-170098,1760,9870,9674,10857,8766,132970,,,,
2004_ARIZONA,AZ,2004,895927,7117923,835464,3181009,3101450,6731212,3224647,2115629,332228,829146,386711,9730,80614,77110,78595,71035,1043298,,,,
2004_ARKANSAS,AR,2004,453491,3385818,423001,2430731,532086,3539569,1863515,1036279,182711,362154,-153751,7688,36967,33884,37369,28640,463115,,,,
2004_CALIFORNIA,CA,2004,6284502,60162326,6634068,31756690,21771568,62647953,29624968,17338877,3048006,9242549,-2485627,119410,455155,488045,498806,409576,6441557,,,,
2004_COLORADO,CO,2004,756319,6527456,435102,2834744,3257610,6869975,3232723,2190563,245429,859189,-342519,21256,56968,56425,59397,50387,765976,,,,
2004_CONNECTICUT,CT,2004,552505,7276945,358769,2520724,4397452,7087023,3896977,2044339,267004,587992,189922,12448,41886,42652,45072,38340,577390,,,,
2004_DELAWARE,DE,2004,111520,1334523,104492,827110,402921,1373416,709545,393664,57010,158252,-38893,670,8279,8872,10494,7390,119091,,,,
2004_DISTRICT_OF_COLUMBIA,DC,2004,65099,1081501,167020,0,914481,1087040,515377,397800,36180,128227,-5539,5432,5387,5300,5189,2820,76714,,,,
2004_FLORIDA,FL,2004,2592997,21623923,2174314,9593760,9855849,21896220,10411050,6317387,1298226,3365514,-272297,47995,197163,197293,209559,149810,2639336,,,,
2004_GEORGIA,GA,2004,1522424,14136215,1201843,6333305,6601067,13779680,7492703,3675160,659431,1767711,356535,37791,122495,116129,122432,83872,1553437,,,,
2004_HAWAII,HI,2004,183609,2138137,236470,1850737,50930,1734591,943647,544864,129740,116340,403546,1288,13576,14289,14422,10794,183185,,,,
2004_IDAHO,ID,2004,252037,1733838,177528,1007906,548404,1744954,943113,507529,72821,183197,-11116,2585,19603,18856,20299,17506,256084,,,,
2004_ILLINOIS,IL,2004,2079027,21082441,1752663,7265072,12064706,21681903,10829189,6608575,737667,2342761,-599462,68764,145797,158622,162192,132658,2097503,,,,
2004_INDIANA,IN,2004,1005587,10423578,651058,5044543,4727977,10312694,5005025,2986672,400765,913045,110884,7967,73142,78079,82728,63316,1021348,,,,
2004_IOWA,IA,2004,481226,4396136,353266,1953425,2089445,4443289,2256107,1236810,199965,533020,-47153,6108,36713,33743,38097,36434,478319,,,,
2004_KANSAS,KS,2004,469824,4377709,339550,2250069,1788090,3982036,2132173,1229634,174522,286696,395673,2486,34203,33503,35915,33593,469136,,,,
2004_KENTUCKY,KY,2004,663886,5135262,607212,2968391,1559659,5259909,2723672,1580235,329243,499029,-124647,37916,49027,47872,51172,39200,674796,,,,
2004_LOUISIANA,LA,2004,721414,5713792,785967,2740918,2186907,5708535,3137090,1743781,343543,372374,5257,23467,57386,61940,60194,40034,724281,,,,
2004_MAINE,ME,2004,201594,2228749,190456,870326,1167967,2291174,1304255,590947,87892,189418,-62425,1747,13687,14439,16850,14402,198820,,,,
2004_MARYLAND,MD,2004,869113,9123493,581542,3436703,5105248,8921938,4963083,2673482,393663,581423,201555,23380,54838,63776,69567,57432,865561,,,,
2004_MASSACHUSETTS,MA,2004,962488,11979937,773841,4726087,6480009,12033345,6883753,3557933,356355,570871,-53408,23281,68357,72818,76831,63852,975574,,,,
2004_MICHIGAN,MI,2004,1738976,18663799,1425832,11129404,6108563,20060708,9094564,6332029,828829,2127866,-1396909,20360,131141,125319,137898,111055,1751290,,,,
2004_MINNESOTA,MN,2004,822245,8688315,507014,6019336,2161965,8963393,4506036,2087673,653077,1039748,-275078,11173,58657,59338,66016,71636,838503,,,,
2004_MISSISSIPPI,MS,2004,492557,3481643,516520,1907476,1057647,3473928,1831472,1035599,216747,322751,7715,2623,39547,38311,39115,25801,495376,,,,
2004_MISSOURI,MO,2004,914055,7893957,620282,3460158,3813517,7896438,4061388,2357707,449882,739399,-2481,13602,64328,66284,73619,61838,905449,,,,
2004_MONTANA,MT,2004,148168,1270790,191840,560584,518366,1241417,703730,400634,51163,64150,29373,759,10206,10440,12011,11173,146705,,,,
2004_NEBRASKA,NE,2004,284170,2734724,240120,874804,1619800,2667987,1471641,712199,109956,296377,66737,6114,21205,20429,22267,21557,285761,,,,
2004_NEVADA,NV,2004,385414,3069531,221488,1850655,997388,3228619,1544881,839920,99050,574726,-159088,2894,29877,31950,32472,21385,400083,,,,
2004_NEW_HAMPSHIRE,NH,2004,203359,2194562,119354,968313,1106895,2236010,1195488,607041,64575,199297,-41448,2360,10116,15501,17237,14847,206852,,,,
2004_NEW_JERSEY,NJ,2004,1363189,21398391,893414,8779155,11725822,21467607,10880932,6888193,744615,1970698,-69216,25211,93157,100557,104437,88378,1393347,,,,
2004_NEW_MEXICO,NM,2004,323066,2855893,492102,1989564,374227,2882631,1340535,913532,140297,443894,-26738,5322,24624,23880,26211,19518,326102,,,,
2004_NEW_YORK,NY,2004,2842785,40820776,3058888,17705556,20056332,42953568,25761741,10702312,1168325,3867760,-2132792,39801,188633,202267,218176,166975,2836337,,,,
2004_NORTH_CAROLINA,NC,2004,1325707,10569600,1019981,6115388,3434231,10263463,5585476,2870473,552701,943558,306137,12468,111753,104337,109979,79257,1385754,,,,
2004_NORTH_DAKOTA,ND,2004,101889,925393,134759,336722,453912,957480,481403,249023,62816,97116,-32087,1089,6643,7069,8127,8143,100513,,,,
2004_OHIO,OH,2004,1797666,18878773,1272090,8145107,9461576,19375400,9406363,6384403,811755,2139831,-496627,26119,134215,134442,147161,127379,1840032,,,,
2004_OKLAHOMA,OK,2004,625826,4622080,593693,2360286,1668101,4400069,2141737,1450284,437723,320142,222011,31803,47152,44372,47270,37938,629476,,,,
2004_OREGON,OR,2004,549196,5086083,460902,2658285,1966896,5393871,2498566,1559219,168704,486745,-307788,988,38997,41298,44802,41125,552505,,,,
2004_PENNSYLVANIA,PA,2004,1756012,21104028,1610741,7196172,12297115,22054811,10695295,6251075,859706,1941824,-950783,7154,124435,133418,151250,132551,1828089,,,,
2004_RHODE_ISLAND,RI,2004,156997,1836758,132370,739698,964690,1745707,1034632,561479,68482,28171,91051,1633,8824,11731,12783,10533,156498,,,,
2004_SOUTH_CAROLINA,SC,2004,696376,5961494,616660,2741127,2603707,6138231,2971895,1780063,332280,828530,-176737,20961,52327,51999,56641,38736,703736,,,,
2004_SOUTH_DAKOTA,SD,2004,125156,1007135,156117,343216,507802,1012096,521961,306877,44816,105677,-4961,1173,9257,8862,9715,9389,122798,,,,
2004_TENNESSEE,TN,2004,911624,6349101,692353,2743825,2912923,6738601,3843346,1796619,356397,574810,-389500,8132,74740,70555,73233,55490,941091,,,,
2004_TEXAS,TX,2004,4267330,36055119,3782724,13201169,19071226,38150452,18291531,10509643,1798316,4812152,-2095333,204665,333934,324389,329214,247655,4405215,,,,
2004_UTAH,UT,2004,487311,2997200,299200,1654191,1043809,3066684,1552853,739158,224631,479463,-69484,9036,41088,37888,37674,35671,503607,,,,
2004_VERMONT,VT,2004,93705,1525776,94546,801169,630061,1550157,700068,368208,34203,77287,-24381,3714,6249,6807,7846,7552,98352,,,,
2004_VIRGINIA,VA,2004,1191035,11151172,765353,4241483,6144336,11404055,6006830,3400515,456829,1125646,-252883,18376,87223,89742,96540,77965,1204739,,,,
2004_WASHINGTON,WA,2004,1020990,8790531,749399,5416352,2624780,9009980,4446860,2579078,407707,1217468,-219449,11921,71219,75151,80918,74121,1020005,,,,
2004_WEST_VIRGINIA,WV,2004,280561,2585084,290752,1546921,747411,2603996,1458141,784602,168905,181816,-18912,7989,20942,20670,22582,18319,280129,,,,
2004_WISCONSIN,WI,2004,874233,9183588,550729,4732025,3900834,9126345,4936038,2846939,361605,540870,57243,27444,58724,59267,67168,69510,864757,,,,
2004_WYOMING,WY,2004,86925,974888,95995,507155,371738,953916,483989,303976,28257,126574,20972,374,6264,5862,6985,6323,84733,,,,
2005_ALABAMA,AL,2005,729342,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605,511944,-14698,2623,58692,55919,59643,43452,741761,225,262,208,252
2005_ALASKA,AK,2005,132568,1599739,302846,878731,418162,1751718,829666,559084,55782,268700,-151979,1914,9934,9495,10793,9578,133288,236,279,211,259
2005_ARIZONA,AZ,2005,919875,7550109,897553,3320196,3332360,7136794,3423716,2264931,351097,861286,413315,9979,83529,80458,80683,79180,1094454,230,274,207,255
2005_ARKANSAS,AR,2005,461667,3978240,447012,2995788,535440,3999608,2118580,1173643,200865,393713,-21368,10372,38070,34951,37279,29351,474206,236,272,217,258
2005_CALIFORNIA,CA,2005,6307022,62171797,7148863,34912166,20110768,66196072,31070450,18046385,3132465,10223657,-4024275,125099,458440,477828,489560,423241,6437202,230,269,207,250
2005_COLORADO,CO,2005,765388,6910296,472246,2954915,3483135,7284280,3380399,2343655,260280,918985,-373984,23211,59398,57151,59929,51818,779826,239,281,224,265
2005_CONNECTICUT,CT,2005,552512,7898694,401558,2886076,4611060,7452057,4177845,2200133,277388,496778,446637,12774,41206,42876,44680,38662,575059,242,281,226,264
2005_DELAWARE,DE,2005,112562,1431710,106513,894498,430699,1480157,761786,424220,62086,172879,-48447,680,8511,8896,10492,7555,120937,240,281,226,266
2005_DISTRICT_OF_COLUMBIA,DC,2005,62306,1109605,167922,0,941683,1085658,459063,450060,38671,134417,23947,5499,5545,5003,5196,3177,76876,211,245,191,238
2005_FLORIDA,FL,2005,2645280,23216404,2328513,9940813,10947078,23857012,11270907,6876508,1363005,3803764,-640608,47240,203325,195265,208413,157545,2675024,239,274,219,256
2005_GEORGIA,GA,2005,1552758,14724731,1375318,6449103,6900310,14492666,7886069,3954215,658022,1794894,232065,38633,128397,119028,123678,87800,1598461,234,272,214,257
2005_HAWAII,HI,2005,183185,2274166,236973,1986615,50578,1765805,1007207,559178,137949,61471,508361,1412,14236,14127,13696,10899,182818,230,266,210,249
