,State,Year,Total_Revenue,Total_Expenditure,Net,Grade_PK,Grades_All,Grade_12,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score,us_region
222,Louisiana,1996,3879633.0,3815375.0,64258,20066.0,793296.0,41759.0,,,,,South
223,Maine,1996,1485138.0,1465093.0,20045,828.0,213593.0,12851.0,,,,,Northeast
224,Maryland,1996,5688918.0,5825606.0,-136688,19639.0,818583.0,44232.0,,,,,South
225,Massachusetts,1996,7129757.0,7479576.0,-349819,15695.0,933898.0,52569.0,,,,,Northeast
226,Michigan,1996,13012080.0,13071893.0,-59813,16870.0,1685714.0,95028.0,,,,,Midwest
227,Minnesota,1996,6101416.0,6423285.0,-321869,8902.0,847204.0,60413.0,,,,,Midwest
228,Mississippi,1996,2241561.0,2268726.0,-27165,1052.0,503967.0,25711.0,,,,,South
229,Missouri,1996,5251014.0,5277785.0,-26771,16156.0,900517.0,54488.0,,,,,Midwest
230,Montana,1996,944623.0,924259.0,20364,500.0,164627.0,11018.0,,,,,West
231,Nebraska,1996,1909834.0,1940808.0,-30974,4104.0,291967.0,19786.0,,,,,Midwest
232,Nevada,1996,1551169.0,1608989.0,-57820,1868.0,282131.0,15316.0,,,,,West
233,New Hampshire,1996,1269380.0,1295106.0,-25726,1535.0,198308.0,11158.0,,,,,Northeast
234,New Jersey,1996,12389781.0,12469216.0,-79435,9737.0,1227832.0,67460.0,,,,,Northeast
235,New Mexico,1996,1750519.0,1642517.0,108002,3894.0,332632.0,17073.0,,,,,West
236,New York,1996,26026366.0,26974514.0,-948148,31566.0,2843131.0,146738.0,,,,,Northeast
237,North Carolina,1996,6516400.0,6517111.0,-711,8535.0,1210108.0,61593.0,,,,,South
238,North Dakota,1996,655971.0,657809.0,-1838,619.0,120123.0,8686.0,,,,,Midwest
239,Ohio,1996,12172778.0,11935582.0,237196,21389.0,1844698.0,117161.0,,,,,Midwest
240,Oklahoma,1996,3185234.0,3195426.0,-10192,4600.0,620695.0,36113.0,,,,,South
241,Oregon,1996,3375710.0,3509765.0,-134055,878.0,537854.0,34794.0,,,,,West
242,Pennsylvania,1996,14671368.0,15048791.0,-377423,3005.0,1804256.0,114183.0,,,,,Northeast
243,Rhode Island,1996,1135192.0,1092459.0,42733,666.0,151324.0,8428.0,,,,,Northeast
244,South Carolina,1996,3594408.0,3493720.0,100688,8408.0,652816.0,35546.0,,,,,South
245,South Dakota,1996,710728.0,689818.0,20910,1192.0,143331.0,9552.0,,,,,Midwest
246,Tennessee,1996,4123018.0,4284181.0,-161163,11653.0,904818.0,50332.0,,,,,South
247,Texas,1996,22241369.0,22401797.0,-160428,133303.0,3828975.0,195075.0,,,,,South
248,Utah,1996,2035726.0,2150719.0,-114993,3784.0,481812.0,34795.0,,,,,West
249,Vermont,1996,965238.0,975817.0,-10579,1404.0,106341.0,6622.0,,,,,Northeast
250,Virginia,1996,6674519.0,6903384.0,-228865,3917.0,1096093.0,64497.0,,,,,South
251,Washington,1996,6354593.0,6578388.0,-223795,5353.0,974504.0,62235.0,,,,,West
252,West Virginia,1996,1958647.0,1936848.0,21799,4433.0,304052.0,21215.0,,,,,South
253,Wisconsin,1996,6342623.0,6521058.0,-178435,19790.0,879259.0,60542.0,,,,,Midwest
254,Wyoming,1996,664057.0,676305.0,-12248,,99058.0,7129.0,,,,,West
255,Alabama,1997,3981788.0,3963624.0,18164,9886.0,749207.0,44272.0,,,,,South
256,Alaska,1997,1131950.0,1237103.0,-105153,2183.0,132123.0,7771.0,,,,,West
257,Arizona,1997,4343262.0,4432360.0,-89098,4674.0,814113.0,44259.0,,,,,West
258,Arkansas,1997,2355859.0,2379496.0,-23637,1672.0,456497.0,29204.0,,,,,South
259,California,1997,35614934.0,33862281.0,1752653,76584.0,5803887.0,317595.0,,,,,West
260,Colorado,1997,4133275.0,4398196.0,-264921,12861.0,687167.0,39263.0,,,,,West
261,Connecticut,1997,4788489.0,4642835.0,145654,9680.0,535164.0,29660.0,,,,,Northeast
262,Delaware,1997,898926.0,889631.0,9295,572.0,111960.0,6741.0,,,,,South
264,Florida,1997,14363709.0,14564750.0,-201041,54044.0,2294077.0,108366.0,,,,,South
265,Georgia,1997,8248199.0,8483477.0,-235278,29357.0,1375980.0,69355.0,,,,,South
266,Hawaii,1997,1213792.0,1241375.0,-27583,606.0,189887.0,10266.0,,,,,West
267,Idaho,1997,1200186.0,1293705.0,-93519,2109.0,244403.0,17020.0,,,,,West
268,Illinois,1997,13929105.0,13920593.0,8512,55835.0,1998289.0,129084.0,,,,,Midwest
