,Primary_Key,State,Year,Total_Revenue,Federal_Revenue,State_Revenue,Local_Revenue,Total_Expenditure,Instruction_Expenditure,Support_Services_Expenditure,Other_Expenditure,Capital_Outlay_Expenditure,Net,Grade_PK,Grade_K,Grade_4,Grade_8,Grade_12,Grades_All,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score,us_region,,,
1284,1988_ALASKA,Alaska,1988,,,,,,,,,,0,1747,8637,8517,7184,6851,106481,,,,,West,,,
1291,1988_ARIZONA,Arizona,1988,,,,,,,,,,0,607,48132,45518,39317,36962,574890,,,,,West,,,
1298,1988_ARKANSAS,Arkansas,1988,,,,,,,,,,0,,34023,33777,33461,30074,436387,,,,,South,,,
1305,1988_CALIFORNIA,California,1988,,,,,,,,,,0,,403237,352076,318856,257450,4618120,,,,,West,,,
1312,1988_COLORADO,Colorado,1988,,,,,,,,,,0,2396,46599,43381,39524,37538,560081,,,,,West,,,
1319,1988_CONNECTICUT,Connecticut,1988,,,,,,,,,,0,3884,38689,34074,31713,32164,460637,,,,,Northeast,,,
1326,1988_DELAWARE,Delaware,1988,,,,,,,,,,0,293,7876,7592,6857,6807,96678,,,,,South,,,
1340,1988_FLORIDA,Florida,1988,,,,,,,,,,0,8317,153773,132484,127642,99659,1720930,,,,,South,,,
1347,1988_GEORGIA,Georgia,1988,,,,,,,,,,0,,96054,88314,82489,65902,1107994,,,,,South,,,
1354,1988_HAWAII,Hawaii,1988,,,,,,,,,,0,261,14091,12654,10715,10039,167488,,,,,West,,,
1361,1988_IDAHO,Idaho,1988,,,,,,,,,,0,,16925,17534,15776,13943,214615,,,,,West,,,
1368,1988_ILLINOIS,Illinois,1988,,,,,,,,,,0,26945,128748,133592,121810,120267,1794916,,,,,Midwest,,,
1375,1988_INDIANA,Indiana,1988,,,,,,,,,,0,814,71250,71757,71967,69641,960994,,,,,Midwest,,,
1382,1988_IOWA,Iowa,1988,,,,,,,,,,0,3334,39067,35491,33186,36157,478200,,,,,Midwest,,,
1389,1988_KANSAS,Kansas,1988,,,,,,,,,,0,1043,36471,32345,29543,28783,426596,,,,,Midwest,,,
1396,1988_KENTUCKY,Kentucky,1988,,,,,,,,,,0,,48112,49133,46143,42382,637627,,,,,South,,,
1403,1988_LOUISIANA,Louisiana,1988,,,,,,,,,,0,1235,67051,63614,54975,41604,786683,,,,,South,,,
1410,1988_MAINE,Maine,1988,,,,,,,,,,0,1761,17394,15693,15281,15662,212902,,,,,Northeast,,,
1417,1988_MARYLAND,Maryland,1988,,,,,,,,,,0,10882,53667,52046,46782,47248,688947,,,,,South,,,
1424,1988_MASSACHUSETTS,Massachusetts,1988,,,,,,,,,,0,6017,69572,60342,58141,60588,823428,,,,,Northeast,,,
1431,1988_MICHIGAN,Michigan,1988,,,,,,,,,,0,9549,138772,113656,109134,107398,1582785,,,,,Midwest,,,
1438,1988_MINNESOTA,Minnesota,1988,,,,,,,,,,0,5827,61442,55459,51484,58335,726950,,,,,Midwest,,,
1445,1988_MISSISSIPPI,Mississippi,1988,,,,,,,,,,0,172,37653,39849,36129,29129,503326,,,,,South,,,
1452,1988_MISSOURI,Missouri,1988,,,,,,,,,,0,,65867,63098,58880,56218,806639,,,,,Midwest,,,
1459,1988_MONTANA,Montana,1988,,,,,,,,,,0,268,12583,11724,10769,10958,152191,,,,,West,,,
1466,1988_NEBRASKA,Nebraska,1988,,,,,,,,,,0,1509,22838,20746,19661,19964,269434,,,,,Midwest,,,
1473,1988_NEVADA,Nevada,1988,,,,,,,,,,0,,14546,13969,12310,11916,176474,,,,,West,,,
1480,1988_NEW_HAMPSHIRE,New Hampshire,1988,,,,,,,,,,0,,7364,13069,12131,11878,169413,,,,,Northeast,,,
1487,1988_NEW_JERSEY,New Jersey,1988,,,,,,,,,,0,6195,79662,78262,73684,78033,1080871,,,,,Northeast,,,
1494,1988_NEW_MEXICO,New Mexico,1988,,,,,,,,,,0,,23587,21602,19939,16915,292425,,,,,West,,,
1501,1988_NEW_YORK,New York,1988,,,,,,,,,,0,25005,185771,183779,172302,161593,2573715,,,,,Northeast,,,
1508,1988_NORTH_CAROLINA,North Carolina,1988,,,,,,,,,,0,1540,84798,81174,82586,73595,1083156,,,,,South,,,
1515,1988_NORTH_DAKOTA,North Dakota,1988,,,,,,,,,,0,633,10292,9202,8469,8433,118809,,,,,Midwest,,,
1522,1988_OHIO,Ohio,1988,,,,,,,,,,0,,138736,135733,131165,137196,1778544,,,,,Midwest,,,
1529,1988_OKLAHOMA,Oklahoma,1988,,,,,,,,,,0,2967,47326,43540,39041,40073,580426,,,,,South,,,
1536,1988_OREGON,Oregon,1988,,,,,,,,,,0,1285,32246,36978,34398,32320,461752,,,,,West,,,
1543,1988_PENNSYLVANIA,Pennsylvania,1988,,,,,,,,,,0,,124878,119150,117664,124572,1659714,,,,,Northeast,,,
1550,1988_RHODE_ISLAND,Rhode Island,1988,,,,,,,,,,0,358,9979,9813,9375,8954,133585,,,,,Northeast,,,
1557,1988_SOUTH_CAROLINA,South Carolina,1988,,,,,,,,,,0,,41433,49024,46720,39348,615774,,,,,South,,,
1564,1988_SOUTH_DAKOTA,South Dakota,1988,,,,,,,,,,0,376,10655,10137,9000,8685,126910,,,,,Midwest,,,
1571,1988_TENNESSEE,Tennessee,1988,,,,,,,,,,0,,62118,63206,60330,53700,821580,,,,,South,,,
1578,1988_TEXAS,Texas,1988,,,,,,,,,,0,77548,251418,255832,237387,201762,3283707,,,,,South,,,
1585,1988_UTAH,Utah,1988,,,,,,,,,,0,1568,35242,36190,29977,25911,431119,,,,,West,,,
1592,1988_VERMONT,Vermont,1988,,,,,,,,,,0,,8238,7214,6792,6199,93381,,,,,Northeast,,,
